item_name,item_store,item_detail_url,item_update_dt,item_price,item_rating_stats,item_rating_thumbs,item_n_views,item_n_comments
2-Pack Modvel Knee Compression Sleeves (Various Colors) from $10.20, Amazon ,https://slickdeals.net/f/17255038-2-pack-modvel-knee-compression-sleeves-various-colors-from-10-20,2024-01-25,10.20,6,3,2088,2
"Creed Aventus Eau de Parfum, 3.3 fl oz - $269.99", Costco Wholesale ,https://slickdeals.net/f/17254741-creed-aventus-eau-de-parfum-3-3-fl-oz-269-99,2024-01-25,269.99,14,5,5245,23
"(Factory Refurb) Hisense UST Projectors (No Screens): 120” L9G TriChroma $1749, 100” L5G TriChroma $949 & More  + Free S/H", BuyDig ,https://slickdeals.net/f/17255005-factory-refurb-hisense-ust-projectors-no-screens-120-l9g-trichroma-1749-100-l5g-trichroma-949-more-free-s-h,2024-01-25,1749.00,9,3,3921,11
"Jockey Men's Cotton Modal 2.5"" Trunk (Summer Time Plaid, Size: 2X-Large only) $1.99 + Free Shipping", Walmart ,https://slickdeals.net/f/17253985-jockey-men-s-cotton-modal-2-5-trunk-summer-time-plaid-size-2x-large-only-1-99-free-shipping,2024-01-24,1.99,6,3,4040,9
NBA 2K24 Kobe Bryant Edition Game for Nintendo Switch (Digital Download) $15, Nintendo ,https://slickdeals.net/f/17256229-nba-2k24-kobe-bryant-edition-game-for-nintendo-switch-digital-download-15,2024-01-25,14.99,12,4,3081,6
Apple Watch SE (2nd Gen) GPS 44mm Silver Aluminum Case with White Sport Band - M/L - Walmart.com - $209, Walmart ,https://slickdeals.net/f/17252509-apple-watch-se-2nd-gen-gps-44mm-silver-aluminum-case-with-white-sport-band-m-l-walmart-com-209,2024-01-24,209.00,6,3,3222,3
75 Sq. Ft. Reynolds Cut-Rite Wax Paper $2.41 w/ S&S + Free Shipping w/ Prime or on $35+, Amazon ,https://slickdeals.net/f/17253112-75-sq-ft-reynolds-cut-rite-wax-paper-2-41-w-s-s-free-shipping-w-prime-or-on-35,2024-01-24,2.41,8,3,1595,0
2.5L lululemon City Adventurer Crossbody Bag (Burnt Caramel) $39 + Free Shipping, lululemon ,https://slickdeals.net/f/17253097-2-5l-lululemon-city-adventurer-crossbody-bag-burnt-caramel-39-free-shipping,2024-01-24,39.00,6,3,9642,3
"Lenovo Slim 7 Pro X 14.5"" Touchscreen Laptop - AMD Ryzen 9 6900HS - GeForce RTX 3050 - 120Hz 3072 x 1920 Display - Windows 11 - $999", Costco Wholesale ,https://slickdeals.net/f/17254900-lenovo-slim-7-pro-x-14-5-touchscreen-laptop-amd-ryzen-9-6900hs-geforce-rtx-3050-120hz-3072-x-1920-display-windows-11-999,2024-01-25,999.99,3,1,4544,18
Islanders (Steam PC Digital Download) $1.55, GamersGate.com ,https://slickdeals.net/f/17255227-islanders-steam-pc-digital-download-1-55,2024-01-25,1.55,7,3,2006,5
"Royal Luxe Down Alternative Reversible Bed Comforter (King, Full/Queen, Twin) $22 + Free Store Pickup at Macy's or Free Shipping on $25+", Macy's ,https://slickdeals.net/f/17253592-royal-luxe-down-alternative-reversible-bed-comforter-king-full-queen-twin-22-free-store-pickup-at-macy-s-or-free-shipping-on-25,2024-01-24,21.99,13,4,9433,13
Free Cozy Mystery ebooks Jan 25 2024 only!, Amazon ,https://slickdeals.net/f/17255521-free-cozy-mystery-ebooks-jan-25-2024-only,2024-01-25,,22,5,1774,1
Columbia Women’s Benton Springs Full Zip Fleece Jacket (Sunset Peach) $27 + Free Shipping, Columbia Sportswear ,https://slickdeals.net/f/17254948-columbia-women-s-benton-springs-full-zip-fleece-jacket-sunset-peach-27-free-shipping,2024-01-25,27.00,7,3,3021,1
"Expedia Hotels Extra 9% Off Promotional Code With No Minimum Spend For Stays Thru September  - Book by January 28, 2024", Expedia ,https://slickdeals.net/f/17255533-expedia-hotels-extra-9-off-promotional-code-with-no-minimum-spend-for-stays-thru-september-book-by-january-28-2024,2024-01-25,,8,3,3185,2
NBA 2K24 Kobe Bryant Edition Game for Nintendo Switch (Digital Download) $21, Amazon ,https://slickdeals.net/f/17255965-nba-2k24-kobe-bryant-edition-game-for-nintendo-switch-digital-download-21,2024-01-25,21.00,5,2,2369,4
"Free Amazon Cookbooks: Foods that Made History, RV, Camping, Tex-Mex, Dumpling, Cast Iron, Indian, Thai, Clean Eating, Freeze, Taco, Sous Vide, Air Fryer, Bread, MORE !!!!", Amazon ,https://slickdeals.net/f/17255275-free-amazon-cookbooks-foods-that-made-history-rv-camping-tex-mex-dumpling-cast-iron-indian-thai-clean-eating-freeze-taco-sous-vide-air-fryer-bread-more,2024-01-25,,58,5,4813,6
"Costco Hisense A65K 75"" 4K UHD TV $500", Costco Wholesale ,https://slickdeals.net/f/17254090-costco-hisense-a65k-75-4k-uhd-tv-500,2024-01-24,500.00,13,4,7250,24
"Samsung EPP: 85"" Samsung QE1C QLED 4K Smart TV + TV Mounting Service $1000 + Free Shipping", Samsung ,https://slickdeals.net/f/17255485-samsung-epp-85-samsung-qe1c-qled-4k-smart-tv-tv-mounting-service-1000-free-shipping,2024-01-25,1000.00,13,4,12884,16
Flambeau Outdoors Tuff Trainer Fishing Tackle Tray Box w/ 6 Compartments $1.64 + Free Ship w/Prime or on $35+, Amazon ,https://slickdeals.net/f/17254912-flambeau-outdoors-tuff-trainer-fishing-tackle-tray-box-w-6-compartments-1-64-free-ship-w-prime-or-on-35,2024-01-25,1.64,8,3,3190,6
Best Choice Products RC Lamborghini Veneno Sport Racing Car w/ 2.4GHz Remote Control (White) $10 + Free Shipping w/ Walmart+ or on $35+, Walmart ,https://slickdeals.net/f/17253535-best-choice-products-rc-lamborghini-veneno-sport-racing-car-w-2-4ghz-remote-control-white-10-free-shipping-w-walmart-or-on-35,2024-01-24,10.00,7,3,7328,10
"$0 Amazon Kindle eBooks: Indian Cookbook, Startup Success: ChatGPT, Meditations of Marcus Aurelius, Parenting Teen, Home Herbalist, Homemade Bread, Stop Overthinking & More", Amazon ,https://slickdeals.net/f/17254507-0-amazon-kindle-ebooks-indian-cookbook-startup-success-chatgpt-meditations-of-marcus-aurelius-parenting-teen-home-herbalist-homemade-bread-stop-overthinking-more,2024-01-25,,38,5,3417,1
Free Kroger Brand Snacks Sampler Box (YMMV), Kroger ,https://slickdeals.net/f/17255212-free-kroger-brand-snacks-sampler-box-ymmv,2024-01-25,,19,5,3063,8
ChapStick Classic Original Lip Balm Tube (Unflavored) $0.93 w/ S&S + Free Shipping w/ Prime or on $35+, Amazon ,https://slickdeals.net/f/17254882-chapstick-classic-original-lip-balm-tube-unflavored-0-93-w-s-s-free-shipping-w-prime-or-on-35,2024-01-25,0.93,11,4,1809,3
"(Cert Refurb) Acer Aspire 3 Laptop: 15.6"" 1080p, Ryzen 5 7520U, 16GB RAM, 512GB SSD $266.80 + Free Shipping", eBay ,https://slickdeals.net/f/17255164-cert-refurb-acer-aspire-3-laptop-15-6-1080p-ryzen-5-7520u-16gb-ram-512gb-ssd-266-80-free-shipping,2024-01-25,266.80,12,4,5099,15
16-Pack Solpex Solar Waterproof LED Deck Lights $20 + Free Shipping w/ Prime or $35+, Amazon ,https://slickdeals.net/f/17251726-16-pack-solpex-solar-waterproof-led-deck-lights-20-free-shipping-w-prime-or-35,2024-01-23,20.00,11,4,19107,19
"Disney Encanto Fashion Doll w/ Dress, Shoes & Accessory (Mirabel or Isabela) $4.97 + Free Shipping w/ Amazon Prime or Orders $35+", Amazon ,https://slickdeals.net/f/17255215-disney-encanto-fashion-doll-w-dress-shoes-accessory-mirabel-or-isabela-4-97-free-shipping-w-amazon-prime-or-orders-35,2024-01-25,4.97,5,2,1797,0
22-Piece Pyrex Food Storage Container Set $29.99 & More + Free Store Pickup at Macy's or F/S on Orders $25+, Macy's ,https://slickdeals.net/f/17254594-22-piece-pyrex-food-storage-container-set-29-99-more-free-store-pickup-at-macy-s-or-f-s-on-orders-25,2024-01-25,29.99,8,3,3366,11
Straight Talk | Reconditioned Iphone 12 64GB - $199 | $35 plan require | Unlock after 60 days, Straight Talk ,https://slickdeals.net/f/17253793-straight-talk-reconditioned-iphone-12-64gb-199-35-plan-require-unlock-after-60-days,2024-01-24,199.00,11,4,23402,60
"Gap Factory: 60% Off Men's Women's & Kids' Select Clearance Apparel: Men's Recycled Beanie $6.40, Women's Basic Gloves $4 + Free S/H on $50+", Gap Factory ,https://slickdeals.net/f/17253397-gap-factory-60-off-men-s-women-s-kids-select-clearance-apparel-men-s-recycled-beanie-6-40-women-s-basic-gloves-4-free-s-h-on-50,2024-01-24,6.40,5,2,2975,0
Jockey Women's Smooth & Shine Seamfree Thong (Simple Bee) $1.99 & More + FS w/ Target Redcard or on $35+, Target ,https://slickdeals.net/f/17254003-jockey-women-s-smooth-shine-seamfree-thong-simple-bee-1-99-more-fs-w-target-redcard-or-on-35,2024-01-24,1.99,10,4,9931,11
$109.99: GIGABYTE B550M AORUS Elite AX, Amazon ,https://slickdeals.net/f/17254819-109-99-gigabyte-b550m-aorus-elite-ax,2024-01-25,109.99,13,4,4350,11
$19.99: 2023 Pokemon Flareon Sylveon Tin Bundle, Amazon ,https://slickdeals.net/f/17253352-19-99-2023-pokemon-flareon-sylveon-tin-bundle,2024-01-24,19.99,10,4,5823,10
$9.32: Under Armour Locker IV Slide Men's Sandals (Black), Amazon ,https://slickdeals.net/f/17254615-9-32-under-armour-locker-iv-slide-men-s-sandals-black,2024-01-25,9.32,8,3,1872,4
Hot Wheels Unleashed 2: Turbocharged (Switch/PS5/PS4) $30 + Free Shipping w/ Prime or on $35+, Amazon ,https://slickdeals.net/f/17254792-hot-wheels-unleashed-2-turbocharged-switch-ps5-ps4-30-free-shipping-w-prime-or-on-35,2024-01-25,30.00,12,4,3116,7
"Dell Inspiron 16-5630 Laptop: 1920x1200 60Hz, i5-1335U, 16GB DDR5, 512GB NVMe - $479.99 (or less for New Customers) + FS @ Dell", Dell Technologies ,https://slickdeals.net/f/17253466-dell-inspiron-16-5630-laptop-1920x1200-60hz-i5-1335u-16gb-ddr5-512gb-nvme-479-99-or-less-for-new-customers-fs-dell,2024-01-24,479.99,7,3,6414,22
Free sleeve Melozio or Odacio WYB 6 Nespresso Vertuo Sleeves, Nespresso ,https://slickdeals.net/f/17253217-free-sleeve-melozio-or-odacio-wyb-6-nespresso-vertuo-sleeves,2024-01-24,,12,4,16719,19
Outdoor Research Coldfront Down Hoodie - Men's @ REI $83.73, REI ,https://slickdeals.net/f/17252683-outdoor-research-coldfront-down-hoodie-men-s-rei-83-73,2024-01-24,83.73,12,4,24264,25
"28"" Acer V287K UHD IPS DCI-P3 90% HDR10 Monitor w/speakers@Newegg $180", Newegg ,https://slickdeals.net/f/17254372-28-acer-v287k-uhd-ips-dci-p3-90-hdr10-monitor-w-speakers-newegg-180,2024-01-25,179.99,11,4,3780,14
"Select Jockey Men's Underwear Briefs, Trunks (Various colors & Sizes) from $4.99 + Free Shipping", Amazon ,https://slickdeals.net/f/17254135-select-jockey-men-s-underwear-briefs-trunks-various-colors-sizes-from-4-99-free-shipping,2024-01-24,4.99,11,4,8041,9
Tarte Shape Tape Concealer (Various Colors) $15 + Free Store Pickup at Target or FS on $35+ or w/ RedCard, Target ,https://slickdeals.net/f/17252650-tarte-shape-tape-concealer-various-colors-15-free-store-pickup-at-target-or-fs-on-35-or-w-redcard,2024-01-24,15.00,10,4,2364,4
$9.90: OlliOlli World - Standard - Nintendo Switch [Digital Code], Amazon ,https://slickdeals.net/f/17254441-9-90-olliolli-world-standard-nintendo-switch-digital-code,2024-01-25,9.90,5,2,2552,0
"Samsung EPP Members: OLED S95C TV: 55"" $1400, 65"" $1600, 77"" $2450 + Free Shipping", Samsung ,https://slickdeals.net/f/17251570-samsung-epp-members-oled-s95c-tv-55-1400-65-1600-77-2450-free-shipping,2024-01-23,1400.00,15,5,20237,79
"Mountain Equipment Men's Starlight II Sleeping Bag (Regular Left Zip, Blue) $64.75 & More + Free Shipping", REI ,https://slickdeals.net/f/17254186-mountain-equipment-men-s-starlight-ii-sleeping-bag-regular-left-zip-blue-64-75-more-free-shipping,2024-01-24,64.75,9,3,4686,11
"32"" Odyssey Neo G7 4K UHD 165Hz 1ms(GTG) Quantum HDR2000 Curved Gaming Monitor EDU/EPP  $500.00 $499.99", Samsung ,https://slickdeals.net/f/17251225-32-odyssey-neo-g7-4k-uhd-165hz-1ms-gtg-quantum-hdr2000-curved-gaming-monitor-edu-epp-500-00-499-99,2024-01-23,499.99,4,2,4358,11
6-Piece GSI Outdoors Cascadian 1-Person Table Set (Orange) $5.75 & More at REI w/ Free Store Pickup, REI ,https://slickdeals.net/f/17254177-6-piece-gsi-outdoors-cascadian-1-person-table-set-orange-5-75-more-at-rei-w-free-store-pickup,2024-01-24,5.75,5,2,2872,4
8-Oz Walgreens Hand Sanitizer w/ Vitamin E $0.70 + Free Store Pickup on $10+, Walgreens ,https://slickdeals.net/f/17251882-8-oz-walgreens-hand-sanitizer-w-vitamin-e-0-70-free-store-pickup-on-10,2024-01-23,0.70,7,3,2704,4
"12-Count 1.4-Oz Orgain Organic Vegan Protein Bars (Chocolate Chip Cookie Dough, Chocolate Brownie) $11.69 w/ S&S + Free Shipping w/ Prime or $35+", Amazon ,https://slickdeals.net/f/17252746-12-count-1-4-oz-orgain-organic-vegan-protein-bars-chocolate-chip-cookie-dough-chocolate-brownie-11-69-w-s-s-free-shipping-w-prime-or-35,2024-01-24,11.69,12,4,2558,5
Salvatore Ferragamo Amo Ferragamo for Women 3.4 oz Eau de Parfum Spray (642294) $36.25 at Amazon, Amazon ,https://slickdeals.net/f/17253775-salvatore-ferragamo-amo-ferragamo-for-women-3-4-oz-eau-de-parfum-spray-642294-36-25-at-amazon,2024-01-24,36.25,6,3,5483,10
(Open Box) OnePlus 10T 5G Unlocked Smartphone (Black; Unlocked) $275 + Free Shipping, eBay ,https://slickdeals.net/f/17253022-open-box-oneplus-10t-5g-unlocked-smartphone-black-unlocked-275-free-shipping,2024-01-24,275.00,11,4,11541,21
12-Pack 26-Count 4-Gal Hefty Flap Tie Small Trash Bags (Clean Burst) $20.64 w/ S&S + Free S&H w/ Prime or $35+, Amazon ,https://slickdeals.net/f/17253289-12-pack-26-count-4-gal-hefty-flap-tie-small-trash-bags-clean-burst-20-64-w-s-s-free-s-h-w-prime-or-35,2024-01-24,20.64,9,3,3132,4
12-Count 1.41-Oz Orgain Organic Plant Based Protein Bar (Chocolate Chip Cookie Dough) $11.69 w/ S&S + Free Shipping w/ Prime or on $35+, Amazon ,https://slickdeals.net/f/17251927-12-count-1-41-oz-orgain-organic-plant-based-protein-bar-chocolate-chip-cookie-dough-11-69-w-s-s-free-shipping-w-prime-or-on-35,2024-01-23,11.69,11,4,3486,4
Grasshopper: 18% Off + Extra $100 Off All Annual Virtual Phone Plans, Grasshopper ,https://slickdeals.net/f/17253019-grasshopper-18-off-extra-100-off-all-annual-virtual-phone-plans,2024-01-24,,11,4,4599,14
"Fanatical:  Build Your Own Relentless Bundle (PC Digital Download) 3 Games for $5, 5 Games for $7, Or 8 Games for $10", Fanatical ,https://slickdeals.net/f/17250910-fanatical-build-your-own-relentless-bundle-pc-digital-download-3-games-for-5-5-games-for-7-or-8-games-for-10,2024-01-23,5.00,8,3,3972,6
Levi's Men's XX Chino Jogger III Pants (Monks Robe) $20.85 + Free Shipping on $49+, Kohl's ,https://slickdeals.net/f/17251711-levi-s-men-s-xx-chino-jogger-iii-pants-monks-robe-20-85-free-shipping-on-49,2024-01-23,20.85,9,3,4099,3
"Dell Inspiron 16 2-in-1 Touchscreen Laptop: 1920x1200 60Hz, Ryzen 5 7530U, 8GB DDR4, 512GB NVMe - $449.99 (or less for New Customers) + FS @ Dell", Dell Technologies ,https://slickdeals.net/f/17253421-dell-inspiron-16-2-in-1-touchscreen-laptop-1920x1200-60hz-ryzen-5-7530u-8gb-ddr4-512gb-nvme-449-99-or-less-for-new-customers-fs-dell,2024-01-24,449.99,9,3,8936,17
VTech Disney Junior Mickey Mouse Learning Watch w/ Counting & Matching Games $7 + Free Shipping w/ Prime or on $35+, Amazon ,https://slickdeals.net/f/17252998-vtech-disney-junior-mickey-mouse-learning-watch-w-counting-matching-games-7-free-shipping-w-prime-or-on-35,2024-01-24,7.00,6,3,4300,2
"14"" Disney Princess My Singing Friend Moana Doll w/ Oar, Hair Clips, Elastic Bands & Pua Figure $12 + Free Shipping w/ Prime or on $35+", Macy's ,https://slickdeals.net/f/17253076-14-disney-princess-my-singing-friend-moana-doll-w-oar-hair-clips-elastic-bands-pua-figure-12-free-shipping-w-prime-or-on-35,2024-01-24,12.00,5,2,2313,1
"Songmics Metal Frame Cart w/ Wheels & Height Adjustable Shelve(s): 2-Tier $23.80, 3-Tier $25.20 + Free Shipping w/ Prime or on $35+", Amazon ,https://slickdeals.net/f/17246866-songmics-metal-frame-cart-w-wheels-height-adjustable-shelve-s-2-tier-23-80-3-tier-25-20-free-shipping-w-prime-or-on-35,2024-01-21,23.80,4,2,7659,6
"MSI Stealth 14: 14"" FHD+ 165Hz, i7-13620H, RTX 4060, 16GB DDR5, 1TB SSD $999.99", Best Buy ,https://slickdeals.net/f/17252635-msi-stealth-14-14-fhd-165hz-i7-13620h-rtx-4060-16gb-ddr5-1tb-ssd-999-99,2024-01-24,999.99,11,4,8271,19
Carhartt Men's Force Relaxed Fit Midweight Long-Sleeve Logo Graphic Hooded T-Shirt (2 Colors) $21 + Free Shipping, Carhartt ,https://slickdeals.net/f/17249245-carhartt-men-s-force-relaxed-fit-midweight-long-sleeve-logo-graphic-hooded-t-shirt-2-colors-21-free-shipping,2024-01-22,21.00,10,4,6069,6
"Capcom PC Digital Download Sale: Beat Em Up Bundle $8.60, Fighting Collection $17.20, Resident Evil 4 Remake $25.80 & More", Green Man Gaming ,https://slickdeals.net/f/17251459-capcom-pc-digital-download-sale-beat-em-up-bundle-8-60-fighting-collection-17-20-resident-evil-4-remake-25-80-more,2024-01-23,25.80,11,4,12427,14
Mattel Disney Cinderella Fashion Doll & Friends w/ 12 Surprise Fashions & Accessories $11.92 + Free Shipping w/ Prime or on $35+, Amazon ,https://slickdeals.net/f/17243188-mattel-disney-cinderella-fashion-doll-friends-w-12-surprise-fashions-accessories-11-92-free-shipping-w-prime-or-on-35,2024-01-19,11.92,11,4,4790,1
This Weekend Harbor Freight Giant Liquidation Sale with 30% off clearance (40% for ITC Members) - In Store, Harbor Freight ,https://slickdeals.net/f/17250577-this-weekend-harbor-freight-giant-liquidation-sale-with-30-off-clearance-40-for-itc-members-in-store,2024-01-23,,45,5,49844,53
"Sam's Club Members: Upcoming In-Warehouse/Online Savings Coupon Book Feb. 1-25, 2024", Sam's Club ,https://slickdeals.net/f/17250499-sam-s-club-members-upcoming-in-warehouse-online-savings-coupon-book-feb-1-25-2024,2024-01-23,,27,5,30211,14
Sofirn IF23 Rechargeable Flashlight with Side RGB Light $29.99,  ,https://slickdeals.net/f/17252263-sofirn-if23-rechargeable-flashlight-with-side-rgb-light-29-99,2024-01-23,29.99,15,5,10166,21
5-Drawer Winsome Halifax Mobile Storage/Organization Cabinet (Black) $76.36 + Free Shipping, Amazon ,https://slickdeals.net/f/17249074-5-drawer-winsome-halifax-mobile-storage-organization-cabinet-black-76-36-free-shipping,2024-01-22,76.36,11,4,9185,15
Milwaukee SHOCKWAVE Impact Duty Alloy Steel Screw Driver Bit Set (120-Piece) $25.97, Home Depot ,https://slickdeals.net/f/17250574-milwaukee-shockwave-impact-duty-alloy-steel-screw-driver-bit-set-120-piece-25-97,2024-01-23,25.97,13,4,8638,19
LeapFrog Blue's Clues and You! Blue Learning Watch $6.74 + Free Shipping w/ Prime or on $35+, Amazon ,https://slickdeals.net/f/17250106-leapfrog-blue-s-clues-and-you-blue-learning-watch-6-74-free-shipping-w-prime-or-on-35,2024-01-23,6.74,10,4,7187,3
T-Mobile: Hulu on Us NOW LIVE, T-Mobile ,https://slickdeals.net/f/17212978-t-mobile-hulu-on-us-now-live,2024-01-03,,43,5,31146,100
"18-Oz Kraft Slow-Simmered BBQ Sauce: Original, Hickory, or Sweet Brown Sugar $1.42 w/ S&S + F/S w/ Prime or on $35+", Amazon ,https://slickdeals.net/f/17252065-18-oz-kraft-slow-simmered-bbq-sauce-original-hickory-or-sweet-brown-sugar-1-42-w-s-s-f-s-w-prime-or-on-35,2024-01-23,1.42,10,4,2993,10
"Samsung EDU/EPP Members: 25"" Odyssey G40B FHD IPS 240Hz 1ms Gaming Monitor $190 + Free Shipping", Samsung ,https://slickdeals.net/f/17251477-samsung-edu-epp-members-25-odyssey-g40b-fhd-ips-240hz-1ms-gaming-monitor-190-free-shipping,2024-01-23,190.00,4,2,3287,5
"34"" Dell AW3423DWF 3440 x 1440 Curved QD-OLED Gaming Monitor $800 + free s/h", Dell Technologies ,https://slickdeals.net/f/17251714-34-dell-aw3423dwf-3440-x-1440-curved-qd-oled-gaming-monitor-800-free-s-h,2024-01-23,800.00,8,3,5686,16
"2-Pack Disney Girls' Graphic Tee w/ Short Sleeves $6.36 ($3.18 each), 4-Piece Disney Girls' Set (Hoodie, Jogger, Tee, Leggings) $12.10 + FS w/ Walmart+ or $35+", Walmart ,https://slickdeals.net/f/17248651-2-pack-disney-girls-graphic-tee-w-short-sleeves-6-36-3-18-each-4-piece-disney-girls-set-hoodie-jogger-tee-leggings-12-10-fs-w-walmart-or-35,2024-01-22,6.36,9,3,4735,1
